min_frame_area,max_frame_area,open_date,has_short_video,longitude,urban_district_population,gdp,urban_district_temporary_population,lowest_total_price,urban_population,max_frame_rooms,greenland,c_area,near_main_road,region,reference_highest_total_price,decoration,latitude,biz,shopping,metro,green_space_and_square,reference_lowest_total_price,reference_unit_price
85,128,583,0,116.04,289.7,3725.0,43.5,900000,145.6,4,0,206.53,1,1,150.0,1,39.53,1,0,0,38.83,65.0,9000
81,119,465,0,116.06,289.7,3725.0,43.5,680000,145.6,3,0,206.53,0,1,110.0,0,39.47,1,0,0,38.83,73.0,8500
80,121,870,0,116.0,289.7,3725.0,43.5,640000,145.6,3,0,206.53,0,1,98.0,1,39.48,1,0,0,38.83,62.0,7900
87,145,899,0,116.04,289.7,3725.0,43.5,720000,145.6,4,0,206.53,0,1,142.0,1,39.48,1,1,0,38.83,68.0,8500
101,125,1344,0,116.02,289.7,3725.0,43.5,1160000,145.6,3,0,206.53,0,1,164.0,1,39.58,1,1,0,38.83,116.0,12000
95,141,1144,0,107.38,51.7,982.7,8.2,800000,32.72,3,0,51.0,1,3,89.0,1,40.75,0,0,0,1.24,64.0,6200
98,139,658,0,107.38,51.7,982.7,8.2,800000,32.72,3,0,51.0,1,3,86.0,1,40.75,0,0,0,1.24,60.7,6200
110,142,1144,0,107.39,51.7,982.7,8.2,420000,32.72,3,0,51.0,1,3,63.9,1,40.79,1,0,0,1.24,49.5,4500
82,140,1693,0,107.36,51.7,982.7,8.2,420000,32.72,4,0,51.0,1,3,61.0,1,40.8,0,0,0,1.24,35.0,4300
63,124,1144,0,107.39,51.7,982.7,8.2,520000,32.72,3,0,51.0,0,3,64.0,1,40.77,1,0,0,1.24,32.7,5200
56,117,1236,1,109.18,71.8,1504.43,30.5,300000,40.29,4,0,85.98,0,5,73.5,0,21.54,1,0,0,7.95,38.0,4999
81,128,1509,1,109.18,71.8,1504.43,30.5,430000,40.29,4,0,85.98,1,5,64.0,0,21.49,1,0,0,7.95,43.0,4796
81,128,615,1,109.1,71.8,1504.43,30.5,450000,40.29,5,0,85.98,0,5,73.0,0,21.46,1,0,0,7.95,45.0,5600
80,312,1516,1,109.13,71.8,1504.43,30.5,580000,40.29,5,0,85.98,1,5,180.0,1,21.46,1,0,0,7.95,41.6,5200
89,133,779,1,109.1,71.8,1504.43,30.5,470000,40.29,3,0,85.98,0,5,87.0,1,21.47,1,1,0,7.95,54.0,5300
40,76,1533,1,109.1,71.8,1504.43,30.5,350000,40.29,3,0,85.98,1,5,82.0,0,21.45,1,0,0,7.95,33.0,8200
50,100,1423,1,109.17,71.8,1504.43,30.5,750000,40.29,3,0,85.98,1,5,130.0,0,21.43,1,1,0,7.95,57.0,10000
79,121,1449,0,109.15,71.8,1504.43,30.5,890000,40.29,3,0,85.98,0,5,157.0,0,21.5,1,1,0,7.95,90.0,11000
55,139,1480,1,109.1,71.8,1504.43,30.5,450000,40.29,3,0,85.98,1,5,100.0,1,21.45,1,0,0,7.95,31.0,5300
220,260,1672,1,117.21,2188.6,40269.55,841.8,3650000,1916.1,3,0,149.05,0,1,380.0,1,40.12,0,0,0,116.24,300.0,16000
185,199,1663,1,116.16,2188.6,40269.55,841.8,11000000,1916.1,4,0,149.05,0,1,1300.0,1,39.73,0,0,1,116.24,1100.0,58000
107,360,2492,0,116.51,2188.6,40269.55,841.8,2980000,1916.1,5,0,149.05,0,1,1690.0,0,40.22,0,0,0,116.24,410.0,27000
100,166,1266,1,116.66,2188.6,40269.55,841.8,4900000,1916.1,4,0,149.05,0,1,960.0,0,39.96,0,0,0,116.24,500.0,49000
166,228,1834,1,116.2,2188.6,40269.55,841.8,8400000,1916.1,4,0,149.05,0,1,1300.0,0,39.73,0,1,0,116.24,830.0,50000
45,95,1754,0,116.36,2188.6,40269.55,841.8,2200000,1916.1,3,0,149.05,0,1,258.0,0,39.78,0,0,0,116.24,122.0,27000
300,536,2394,1,116.39,2188.6,40269.55,841.8,20000000,1916.1,5,0,149.05,1,1,8800.0,1,40.19,0,0,0,116.24,1966.0,40000
115,293,1428,1,116.17,2188.6,40269.55,841.8,4800000,1916.1,5,0,149.05,0,1,1000.0,1,39.77,0,0,0,116.24,420.0,38000
208,320,1869,1,116.06,2188.6,40269.55,841.8,14000000,1916.1,4,0,149.05,0,1,1870.0,1,39.88,0,0,0,116.24,1250.0,45000
290,330,2058,1,116.17,2188.6,40269.55,841.8,12500000,1916.1,5,0,149.05,0,1,1400.0,1,39.74,0,0,1,116.24,1150.0,40000
82,119,1370,1,125.25,447.4,7103.1,125.8,700000,364.67,3,0,562.42,1,0,129.0,1,44.01,0,1,0,133.47,69.0,8500
78,139,1467,0,125.18,447.4,7103.1,125.8,440000,364.67,3,0,562.42,0,0,61.0,1,44.08,0,1,0,133.47,33.81,5100
83,83,1002,1,125.27,447.4,7103.1,125.8,610000,364.67,2,0,562.42,1,0,123.0,1,44.02,0,0,0,133.47,63.0,7300
118,156,1611,0,125.43,447.4,7103.1,125.8,1200000,364.67,3,0,562.42,0,0,156.0,1,43.78,1,1,0,133.47,120.0,12500
70,154,992,1,125.39,447.4,7103.1,125.8,740000,364.67,4,0,562.42,1,0,140.0,1,43.93,0,0,0,133.47,63.0,8000
88,128,960,1,125.36,447.4,7103.1,125.8,1300000,364.67,3,0,562.42,0,0,130.0,0,43.91,0,0,1,133.47,110.0,12000
345,370,1554,0,125.41,447.4,7103.1,125.8,5500000,364.67,5,0,562.42,1,0,560.0,1,43.77,1,1,0,133.47,500.0,16000
108,147,1451,1,125.4,447.4,7103.1,125.8,1250000,364.67,3,0,562.42,1,0,183.0,0,43.98,0,1,0,133.47,123.0,10500
115,149,863,1,125.39,447.4,7103.1,125.8,1300000,364.67,4,0,562.42,1,0,190.0,0,43.83,1,1,0,133.47,130.0,12000
94,124,1728,0,118.5,78.0,3362.1,20.6,650000,64.62,4,0,110.59,1,2,95.0,1,32.18,1,1,0,30.87,65.0,7800
112,145,1684,0,118.46,78.0,3362.1,20.6,700000,64.62,4,0,110.59,1,2,100.0,1,32.19,1,1,0,30.87,80.0,5800
98,196,1014,0,118.42,78.0,3362.1,20.6,540000,64.62,5,0,110.59,1,2,133.0,1,32.19,1,1,0,30.87,66.0,6000
89,106,1914,0,118.58,78.0,3362.1,20.6,750000,64.62,3,0,110.59,1,2,94.0,1,32.25,1,1,0,30.87,89.0,9700
117,133,1768,0,118.59,78.0,3362.1,20.6,850000,64.62,4,0,110.59,1,2,133.05,1,32.25,1,1,0,30.87,99.45,6900
78,106,1754,0,118.6,78.0,3362.1,20.6,1050000,64.62,3,0,110.59,1,2,116.0,0,32.24,1,1,0,30.87,85.0,11000
41,120,2029,0,113.08,509.7,13270.7,143.7,550000,509.69,1,0,437.9,0,6,115.0,1,28.19,0,0,0,23.18,55.0,17000
36,51,1715,1,113.01,509.7,13270.7,143.7,250000,509.69,1,0,437.9,0,6,36.0,1,28.15,0,0,1,23.18,26.0,7000
88,127,1699,1,112.89,509.7,13270.7,143.7,787000,509.69,4,0,437.9,0,6,91.8,1,28.31,0,1,0,23.18,78.7,6200
78,139,4116,0,113.03,509.7,13270.7,143.7,690000,509.69,4,0,437.9,0,6,144.0,1,28.24,0,1,0,23.18,112.0,9800
87,114,952,1,113.0,509.7,13270.7,143.7,1100000,509.69,3,0,437.9,0,6,171.42,1,28.23,0,0,1,23.18,111.42,12000
79,149,658,1,106.45,2649.8,27894.02,429.5,1000000,1322.63,5,0,1645.38,0,4,142.0,1,29.43,0,0,0,321.39,95.0,13000
251,286,870,1,106.83,2649.8,27894.02,429.5,2500000,1322.63,5,0,1645.38,0,4,350.0,1,29.71,0,0,0,321.39,240.0,10000
230,230,841,1,106.54,2649.8,27894.02,429.5,4700000,1322.63,5,0,1645.38,0,4,560.0,1,29.67,0,0,1,321.39,500.0,27000
95,140,204,0,106.81,2649.8,27894.02,429.5,900000,1322.63,4,0,1645.38,1,4,96.0,1,29.71,0,0,0,321.39,90.0,10000
81,223,354,1,106.83,2649.8,27894.02,429.5,1500000,1322.63,4,0,1645.38,0,4,178.0,1,29.71,0,1,0,321.39,69.0,12000
227,897,747,1,106.47,2649.8,27894.02,429.5,3000000,1322.63,9,0,1645.38,0,4,800.0,1,29.71,0,1,0,321.39,300.0,13000
86,138,763,1,106.79,2649.8,27894.02,429.5,1650000,1322.63,4,0,1645.38,0,4,162.0,1,29.69,0,1,0,321.39,106.0,14000
121,137,832,0,106.79,2649.8,27894.02,429.5,1600000,1322.63,4,0,1645.38,0,4,162.0,1,29.69,0,1,0,321.39,160.0,15000
275,876,2698,0,106.6,2649.8,27894.02,429.5,45000000,1322.63,5,0,1645.38,0,4,4560.0,1,29.55,0,1,1,321.39,4500.0,56000
90,162,235,0,104.05,1127.0,19916.98,289.8,3600000,931.29,4,1,1055.79,0,4,475.0,0,30.48,0,0,0,159.0,330.0,27000
114,132,44975,0,103.99,1127.0,19916.98,289.8,2700000,931.29,4,0,1055.79,0,4,315.0,0,30.73,0,0,0,159.0,270.0,24500
41,51,558,1,104.09,1127.0,19916.98,289.8,240000,931.29,2,0,1055.79,0,4,32.0,1,30.81,0,0,0,159.0,24.0,6100
89,126,44975,0,104.13,1127.0,19916.98,289.8,2200000,931.29,4,1,1055.79,0,4,310.0,0,30.71,0,0,0,159.0,200.0,22800
89,161,178,0,104.09,1127.0,19916.98,289.8,2500000,931.29,4,0,1055.79,0,4,350.0,1,30.39,0,0,0,159.0,250.0,21000
90,138,610,0,121.53,414.2,7825.95,25.0,2100000,353.77,3,0,444.04,1,0,311.0,0,39.01,0,0,0,129.88,205.0,18500
83,122,512,1,121.53,414.2,7825.95,25.0,3000000,353.77,3,0,444.04,1,0,372.0,0,38.87,1,0,0,129.88,260.0,30000
83,125,535,0,121.71,414.2,7825.95,25.0,1300000,353.77,4,0,444.04,1,0,170.0,0,39.11,0,0,0,129.88,99.6,12000
80,129,560,0,121.47,414.2,7825.95,25.0,1450000,353.77,4,0,444.04,1,0,280.0,0,38.99,0,0,0,129.88,136.0,16500
63,85,1645,1,121.82,414.2,7825.95,25.0,900000,353.77,2,0,444.04,0,0,91.8,1,39.02,0,1,0,129.88,66.0,10500
54,96,1053,1,121.87,414.2,7825.95,25.0,1000000,353.77,2,0,444.04,0,0,120.0,0,39.06,0,1,1,129.88,68.0,12500
47,96,627,1,121.19,414.2,7825.95,25.0,300000,353.77,2,0,444.04,0,0,61.0,1,38.83,0,0,0,129.88,28.0,6000
81,133,1329,0,121.23,414.2,7825.95,25.0,410000,353.77,4,0,444.04,0,0,47.0,1,38.8,0,1,0,129.88,41.0,4700
96,162,1236,1,121.49,414.2,7825.95,25.0,2990000,353.77,3,0,444.04,0,0,550.0,1,38.92,0,0,0,129.88,330.0,33000
83,130,566,1,113.72,278.6,10855.35,651.1,2200000,278.61,4,1,1194.31,0,5,260.0,0,22.94,1,0,0,422.53,215.0,23000
97,142,179,0,114.0,278.6,10855.35,651.1,2310000,278.61,4,1,1194.31,0,5,345.0,1,22.95,1,0,0,422.53,213.0,22000
75,117,2457,1,113.9,278.6,10855.35,651.1,1390000,278.61,3,0,1194.31,0,5,199.0,0,22.96,0,1,1,422.53,139.0,18800
80,247,792,1,113.88,278.6,10855.35,651.1,1700000,278.61,5,0,1194.31,0,5,412.0,1,23.12,1,0,0,422.53,260.0,16800
101,140,556,1,113.62,278.6,10855.35,651.1,3100000,278.61,4,0,1194.31,0,5,385.0,0,22.83,1,1,0,422.53,238.0,27500
86,124,492,1,114.08,278.6,10855.35,651.1,1460000,278.61,3,0,1194.31,0,5,205.0,1,22.98,1,1,0,422.53,170.0,17000
65,120,802,1,113.9,278.6,10855.35,651.1,1500000,278.61,3,0,1194.31,1,5,312.0,1,23.12,1,0,0,422.53,132.0,20000
62,122,1860,0,109.22,97.6,395.33,19.4,1000000,19.38,3,0,36.32,1,5,141.0,0,19.68,0,1,0,2.35,100.0,16000
98,140,1977,0,109.6,97.6,395.33,19.4,1010000,19.38,4,0,36.32,1,5,143.0,1,19.55,0,0,0,2.35,101.0,9000
70,79,1259,0,109.56,97.6,395.33,19.4,660000,19.38,2,0,36.32,1,5,75.0,1,19.52,0,0,0,2.35,66.0,9300
45,105,2135,0,109.23,97.6,395.33,19.4,720000,19.38,2,0,36.32,1,5,168.0,0,19.7,0,1,0,2.35,72.0,15800
102,142,1568,0,109.6,97.6,395.33,19.4,1270000,19.38,4,0,36.32,1,5,187.0,0,19.54,0,0,0,2.35,127.0,9650
110,110,1894,0,109.6,97.6,395.33,19.4,970000,19.38,3,0,36.32,1,5,181.0,1,19.53,0,0,0,2.35,121.0,11000
89,171,1939,0,109.61,97.6,395.33,19.4,1550000,19.38,4,0,36.32,1,5,215.0,1,19.54,0,0,0,2.35,155.0,9000
98,128,1205,0,109.59,97.6,395.33,19.4,980000,19.38,4,0,36.32,1,5,135.0,1,19.55,0,0,0,2.35,103.0,10000
90,143,798,0,104.28,95.6,2656.56,22.2,600000,54.65,4,0,98.53,0,4,81.9,1,31.01,1,1,0,25.41,63.0,7000
89,138,870,0,104.26,95.6,2656.56,22.2,670000,54.65,4,0,98.53,0,4,140.0,1,31.0,1,1,0,25.41,80.0,6500
100,145,1389,0,104.29,95.6,2656.56,22.2,680000,54.65,3,0,98.53,0,4,92.0,1,30.95,1,1,0,25.41,63.44,6300
78,123,597,0,104.3,95.6,2656.56,22.2,440000,54.65,3,0,98.53,1,4,56.0,1,31.0,1,0,0,25.41,44.0,4500
110,198,1023,0,104.4,95.6,2656.56,22.2,1800000,54.65,4,0,98.53,1,4,217.0,1,31.11,0,0,0,25.41,165.0,10500
93,124,788,1,104.29,95.6,2656.56,22.2,600000,54.65,4,0,98.53,0,4,87.0,1,31.01,1,1,0,25.41,54.0,5600
75,106,663,0,107.51,173.3,2351.7,34.0,490000,110.24,4,0,144.34,1,4,70.0,1,31.17,0,0,0,6.58,50.0,6200
84,93,273,0,107.45,173.3,2351.7,34.0,420000,110.24,4,0,144.34,0,4,56.0,1,31.21,0,0,0,6.58,51.0,4988
103,195,1515,0,107.49,173.3,2351.7,34.0,1100000,110.24,4,0,144.34,1,4,205.0,1,31.22,0,0,0,6.58,145.0,8500
69,87,1481,0,107.51,173.3,2351.7,34.0,500000,110.24,3,0,144.34,1,4,100.0,1,31.18,0,0,0,6.58,40.0,4800
157,157,1714,0,107.47,173.3,2351.7,34.0,2000000,110.24,4,0,144.34,0,4,260.0,1,31.23,0,1,0,6.58,200.0,13000
91,112,1469,0,107.43,173.3,2351.7,34.0,400000,110.24,3,0,144.34,1,4,49.0,1,31.2,0,0,0,6.58,38.0,4500
84,118,1274,0,107.52,173.3,2351.7,34.0,600000,110.24,4,0,144.34,0,4,71.0,1,31.18,0,0,0,6.58,56.0,7300
19,19,1383,0,107.46,173.3,2351.7,34.0,700000,110.24,1,0,144.34,0,4,130.0,1,31.22,0,1,0,6.58,70.0,20000
106,147,317,0,100.29,65.3,1632.99,11.9,900000,34.73,4,0,54.85,0,4,120.0,1,25.63,0,0,0,4.98,80.0,7500
51,156,753,0,100.3,65.3,1632.99,11.9,1600000,34.73,4,0,54.85,0,4,270.0,0,25.65,0,1,0,4.98,60.0,15000
77,146,1344,0,100.22,65.3,1632.99,11.9,2000000,34.73,4,0,54.85,1,4,260.0,1,25.61,0,1,0,4.98,200.0,14000
232,256,1988,0,100.29,65.3,1632.99,11.9,2365000,34.73,6,0,54.85,1,4,550.0,1,25.65,0,1,0,4.98,474.0,13000
90,249,2289,0,100.29,65.3,1632.99,11.9,950000,34.73,5,0,54.85,1,4,212.0,1,25.64,0,1,0,4.98,84.0,10000
61,475,3792,0,100.17,65.3,1632.99,11.9,5770000,34.73,8,0,54.85,1,4,910.0,1,25.68,0,1,0,4.98,577.0,20000
81,205,2088,0,100.29,65.3,1632.99,11.9,1300000,34.73,5,0,54.85,0,4,210.0,1,25.64,0,1,0,4.98,115.0,9000
107,145,1952,0,100.28,65.3,1632.99,11.9,1010000,34.73,3,0,54.85,1,4,203.7,0,25.64,0,1,0,4.98,155.0,14000
106,106,2805,0,100.18,65.3,1632.99,11.9,2000000,34.73,3,0,54.85,1,4,260.0,1,25.66,0,1,0,4.98,200.0,18800
56,238,1875,0,100.13,65.3,1632.99,11.9,2000000,34.73,5,0,54.85,0,4,820.0,0,25.72,0,0,0,4.98,210.0,35000
109,131,1209,0,114.9,111.5,1200.0,3.4,720000,30.12,4,0,37.57,1,6,86.0,1,30.36,0,0,0,3.9,72.0,6600
123,123,1625,0,114.92,111.5,1200.0,3.4,888720,30.12,3,0,37.57,0,6,145.73,1,30.38,0,1,0,3.9,85.73,6900
77,129,1374,0,114.66,111.5,1200.0,3.4,350000,30.12,3,0,37.57,0,6,67.0,1,30.41,0,0,0,3.9,47.0,5000
92,113,941,0,114.66,111.5,1200.0,3.4,1000000,30.12,3,0,37.57,1,6,153.0,1,30.49,0,1,0,3.9,93.0,9900
94,128,1633,0,114.69,111.5,1200.0,3.4,580000,30.12,4,0,37.57,1,6,92.0,0,30.54,0,0,0,3.9,74.0,5800
112,142,1133,0,114.91,111.5,1200.0,3.4,800000,30.12,4,0,37.57,0,6,95.0,1,30.36,0,1,0,3.9,75.0,6500
103,140,1191,0,114.67,111.5,1200.0,3.4,1100000,30.12,4,0,37.57,0,6,121.0,1,30.47,0,1,0,3.9,94.0,7000
82,114,1236,0,114.66,111.5,1200.0,3.4,760000,30.12,3,0,37.57,0,6,105.0,1,30.49,0,1,0,3.9,80.36,8300
94,125,1020,0,114.66,111.5,1200.0,3.4,900000,30.12,4,0,37.57,1,6,120.0,1,30.49,0,1,0,3.9,90.0,9500
86,117,616,1,113.2,516.3,12156.54,305.3,2500000,141.54,4,0,163.82,1,5,400.0,0,23.19,0,0,0,44.05,250.0,26000
85,128,540,1,113.11,516.3,12156.54,305.3,1850000,141.54,4,0,163.82,0,5,332.0,0,22.99,0,0,1,44.05,178.0,21500
25,125,568,0,113.25,516.3,12156.54,305.3,2000000,141.54,3,1,163.82,0,5,350.0,0,22.98,0,0,0,44.05,175.0,25500
76,132,400,0,113.09,516.3,12156.54,305.3,1000000,141.54,5,0,163.82,0,5,171.0,0,22.87,0,0,0,44.05,95.0,12800
83,116,175,0,113.22,516.3,12156.54,305.3,1550000,141.54,5,0,163.82,0,5,192.0,0,22.9,0,0,0,44.05,125.0,15800
82,130,658,1,112.88,516.3,12156.54,305.3,890000,141.54,4,0,163.82,0,5,115.0,0,23.13,0,1,0,44.05,80.0,8300
64,145,992,1,113.01,516.3,12156.54,305.3,1200000,141.54,4,0,163.82,1,5,247.0,0,23.09,0,1,0,44.05,100.0,16000
40,225,1526,1,113.25,516.3,12156.54,305.3,2850000,141.54,4,0,163.82,0,5,650.0,1,22.97,0,1,0,44.05,155.0,22000
40,171,1479,1,113.14,516.3,12156.54,305.3,2000000,141.54,4,0,163.82,0,5,292.0,1,22.97,0,0,1,44.05,82.0,21000
101,171,717,1,112.9,516.3,12156.54,305.3,550000,141.54,4,0,163.82,0,5,95.0,1,22.87,0,0,0,44.05,72.0,5800
52,92,1450,0,108.38,60.4,815.88,8.3,504000,19.78,3,0,51.21,0,5,43.0,1,21.67,1,1,0,9.05,40.8,6000
65,117,1509,1,108.38,60.4,815.88,8.3,552000,19.78,4,0,51.21,1,5,72.0,1,21.68,1,1,0,9.05,39.0,6500
80,133,1386,0,108.37,60.4,815.88,8.3,620000,19.78,4,0,51.21,1,5,86.0,0,21.68,1,1,0,9.05,45.0,8500
27,102,1230,0,108.38,60.4,815.88,8.3,440000,19.78,3,0,51.21,1,5,75.0,0,21.68,1,1,0,9.05,42.0,8000
63,98,1601,0,108.37,60.4,815.88,8.3,693600,19.78,3,0,51.21,1,5,65.0,1,21.67,1,1,0,9.05,44.0,6800
89,141,1217,0,108.37,60.4,815.88,8.3,900000,19.78,4,0,51.21,1,5,127.0,1,21.67,1,1,0,9.05,80.0,9000
99,107,1622,1,108.43,60.4,815.88,8.3,450000,19.78,3,0,51.21,1,5,54.0,1,21.71,1,1,0,9.05,50.0,5400
78,128,443,0,113.51,1011.5,28231.97,726.6,2400000,739.09,4,0,1350.4,0,5,358.0,1,22.82,0,0,0,194.34,211.0,28000
81,122,641,1,113.6,1011.5,28231.97,726.6,2300000,739.09,4,0,1350.4,1,5,305.0,1,23.29,0,0,0,194.34,200.0,25000
85,142,190,1,113.51,1011.5,28231.97,726.6,2980000,739.09,4,0,1350.4,1,5,520.0,0,23.16,0,0,0,194.34,313.0,35200
66,106,516,0,113.61,1011.5,28231.97,726.6,1300000,739.09,3,0,1350.4,0,5,165.0,0,23.23,0,0,0,194.34,105.0,14000
86,130,792,1,113.56,1011.5,28231.97,726.6,2500000,739.09,4,0,1350.4,1,5,320.0,0,22.77,0,0,0,194.34,205.0,26000
79,110,435,0,113.52,1011.5,28231.97,726.6,2610000,739.09,3,0,1350.4,0,5,363.0,0,22.76,0,0,0,194.34,261.0,33000
95,121,1389,1,113.6,1011.5,28231.97,726.6,3000000,739.09,3,0,1350.4,0,5,330.0,0,22.75,0,0,1,194.34,320.0,25000
98,138,1662,1,113.33,1011.5,28231.97,726.6,2750000,739.09,4,0,1350.4,1,5,365.0,0,23.31,0,0,0,194.34,275.0,27500
90,205,843,1,113.58,1011.5,28231.97,726.6,2600000,739.09,5,0,1350.4,0,5,650.0,0,23.16,0,1,0,194.34,200.0,23000
78,135,996,1,110.15,136.9,2311.0,6.9,500000,97.28,4,0,134.67,1,5,75.0,1,25.24,1,0,0,15.89,45.0,5300
89,166,1237,1,110.3,136.9,2311.0,6.9,450000,97.28,5,0,134.67,1,5,86.0,1,25.34,1,0,0,15.89,45.0,5200
93,143,1266,0,110.17,136.9,2311.0,6.9,650000,97.28,4,0,134.67,1,5,90.0,1,25.24,1,1,0,15.89,68.0,5700
74,135,1678,0,110.19,136.9,2311.0,6.9,500000,97.28,4,0,134.67,1,5,110.0,1,25.25,1,0,0,15.89,50.0,5200
89,143,976,1,110.32,136.9,2311.0,6.9,690000,97.28,4,0,134.67,0,5,98.0,1,25.23,1,0,0,15.89,66.0,7100
61,119,1645,0,110.19,136.9,2311.0,6.9,400000,97.28,3,0,134.67,0,5,50.0,1,25.26,1,0,0,15.89,39.0,5900
71,245,1297,1,110.18,136.9,2311.0,6.9,410000,97.28,5,0,134.67,0,5,200.0,1,25.26,1,1,0,15.89,46.0,6000
103,141,1631,0,110.33,136.9,2311.0,6.9,930000,97.28,4,0,134.67,1,5,220.0,1,25.25,1,0,0,15.89,160.0,11800
84,175,1671,0,110.18,136.9,2311.0,6.9,550000,97.28,5,0,134.67,1,5,115.0,1,25.23,1,1,0,15.89,55.0,6300
89,181,870,0,110.19,136.9,2311.0,6.9,550000,97.28,5,0,134.67,1,5,93.0,1,25.26,1,0,0,15.89,55.0,5800
